id;name;price;stock;barcode;expiration_date;created_at
1;jazz forenenst tremendously;8006.16;10738;yum;2025-07-14T19:39:47;2025-07-14T09:37:13
2;scar;126.87;11868;where jam-packed;2025-07-14T08:01:40;2025-07-13T23:50:09
3;greatly;3291.47;4735;always;2025-07-14T17:50:23;2025-07-14T14:10:26
4;hyena voluntarily fairly;2294.71;5097;statement;2025-07-14T15:00:30;2025-07-14T00:44:05
5;past zowie;14998.91;29700;commercial nor duh;2025-07-14T07:35:04;2025-07-14T20:58:55
6;rival;863.85;16595;pine dearly;2025-07-14T21:37:29;2025-07-14T01:07:40
7;easily tremendously;3744.62;11263;throughout glow;2025-07-14T04:31:02;2025-07-14T17:09:55
8;pish;13104.89;26264;after during;2025-07-14T02:29:21;2025-07-14T17:00:29
9;longingly;3490.59;32601;glum;2025-07-13T23:05:54;2025-07-13T22:22:32
10;as;19982.48;12472;whereas nucleotidase whoa;2025-07-14T20:34:50;2025-07-14T04:18:49
